id,first_name,last_name,email,phone,address,city,state,zip,primary_campus_id,primary_campus_name,household_id,created_date,status
donor_90efad32,Susan,Brown,susanb90@icloud.com,(682) 230-2535,3757 Pine St,Snellville,GA,30046,campus_001,One Life Center,hh_0001,2024-02-17,active
donor_123d19f0,Rachel,Reed,rachelr460@outlook.com,(678) 977-3615,3357 Orchard Rd,Lawrenceville,GA,30078,campus_001,One Life Center,hh_0002,2023-08-23,active
donor_d7ba0170,Rachel,Reed,rachel55@yahoo.com,(705) 981-6514,3357 Orchard Rd,Lawrenceville,GA,30078,campus_001,One Life Center,hh_0002,2023-08-23,active
donor_b7a8190d,Ruth,Carter,ruth.carter@icloud.com,(688) 765-5803,5735 Creek Dr,Suwanee,GA,30019,campus_001,One Life Center,hh_0003,2021-06-25,lapsed
donor_67a27633,Adam,Carter,adam81@hotmail.com,(702) 921-2139,5735 Creek Dr,Suwanee,GA,30019,campus_001,One Life Center,hh_0003,2021-06-25,lapsed
donor_09dac0c2,Emily,Robinson,emily47@outlook.com,(704) 886-5374,3914 Cedar Ln,Snellville,GA,30044,campus_001,One Life Center,hh_0004,2022-02-17,active
donor_5fb2f8b5,Rachel,Robinson,rachel.robinson@hotmail.com,(759) 375-9751,3914 Cedar Ln,Snellville,GA,30044,campus_001,One Life Center,hh_0004,2022-02-17,active
donor_e282d4f6,Brenda,Lee,brenda.lee@yahoo.com,(682) 523-7572,4522 Grove St,Dacula,GA,30017,campus_001,One Life Center,hh_0005,2023-11-10,active
donor_dba7712c,Lauren,Ramirez,laurenramirez@yahoo.com,(749) 751-5304,8279 Spring St,Grayson,GA,30046,campus_001,One Life Center,hh_0006,2024-12-16,active
donor_bccd1f74,Catherine,Ramirez,catheriner439@icloud.com,(724) 424-3266,8279 Spring St,Grayson,GA,30046,campus_001,One Life Center,hh_0006,2024-12-16,active
donor_4f1f4e89,Diane,Lopez,dlopez@icloud.com,(754) 679-9669,2604 Grove St,Lawrenceville,GA,30044,campus_001,One Life Center,hh_0007,2020-11-23,active
donor_ceba81f0,Samuel,Ward,samuelward@icloud.com,(678) 939-5315,8897 Lake Dr,Lawrenceville,GA,30044,campus_001,One Life Center,hh_0008,2024-04-23,active
donor_214e0ffb,Nicholas,Ward,nicholasw183@gmail.com,(758) 505-9317,8897 Lake Dr,Lawrenceville,GA,30044,campus_001,One Life Center,hh_0008,2024-04-23,active
donor_35ce36ef,James,Martin,james.martin@outlook.com,(717) 445-1949,8937 Highland Ave,Grayson,GA,30045,campus_001,One Life Center,hh_0009,2025-02-24,active
donor_19184bf1,Jonathan,Diaz,jdiaz@hotmail.com,(699) 471-9645,8062 Maple Dr,Suwanee,GA,30044,campus_001,One Life Center,hh_0010,2024-04-06,active
donor_8d86494f,Virginia,Diaz,virginiadiaz@hotmail.com,(766) 405-6107,8062 Maple Dr,Suwanee,GA,30044,campus_001,One Life Center,hh_0010,2024-04-06,active
donor_ae7695b5,Ashley,Long,ashleyl22@hotmail.com,(707) 802-4608,8579 Forest Ave,Grayson,GA,30052,campus_001,One Life Center,hh_0011,2020-09-04,active
donor_ae2ce2ef,James,Long,james.long@yahoo.com,(686) 232-6413,8579 Forest Ave,Grayson,GA,30052,campus_001,One Life Center,hh_0011,2020-09-04,active
donor_c3d6bc99,Patrick,Walker,pwalker@yahoo.com,(738) 616-4119,3610 Valley Rd,Snellville,GA,30052,campus_001,One Life Center,hh_0012,2020-09-27,active
donor_5b8501ca,Richard,Walker,rwalker@outlook.com,(732) 620-8651,3610 Valley Rd,Snellville,GA,30052,campus_001,One Life Center,hh_0012,2020-09-27,active
donor_0f6701b1,Aaron,Miller,aaronmiller@hotmail.com,(735) 343-7912,6696 Willow St,Suwanee,GA,30043,campus_001,One Life Center,hh_0013,2021-11-25,active
donor_17202f36,Michael,Cook,michael.cook@gmail.com,(708) 370-7658,7360 Valley Rd,Buford,GA,30044,campus_001,One Life Center,hh_0014,2020-07-19,active
donor_ad4c79dc,Gary,Cook,gcook@gmail.com,(699) 588-1035,7360 Valley Rd,Buford,GA,30044,campus_001,One Life Center,hh_0014,2020-07-19,active
donor_b66d8709,Janet,King,jking@yahoo.com,(702) 503-4566,7030 Orchard Rd,Dacula,GA,30024,campus_001,One Life Center,hh_0015,2025-05-14,active
donor_320cd298,Kathleen,Wood,kathleen.wood@hotmail.com,(688) 390-2122,1036 Oak Ave,Lawrenceville,GA,30019,campus_001,One Life Center,hh_0016,2023-04-11,active
donor_b554d70b,Justin,Foster,jfoster@hotmail.com,(750) 735-6183,2064 Meadow Ln,Buford,GA,30017,campus_001,One Life Center,hh_0017,2021-05-19,active
donor_3e2d6a01,Christine,Clark,christine.clark@gmail.com,(736) 836-2638,4451 Spring St,Grayson,GA,30046,campus_001,One Life Center,hh_0018,2020-09-25,active
donor_7e3fc3ec,Ashley,Ramirez,ashleyr449@outlook.com,(756) 869-9666,5818 Maple Dr,Snellville,GA,30045,campus_001,One Life Center,hh_0019,2024-12-05,active
donor_7fed6419,Mary,Ramirez,maryr837@outlook.com,(762) 306-3200,5818 Maple Dr,Snellville,GA,30045,campus_001,One Life Center,hh_0019,2024-12-05,active
donor_6109247a,Carolyn,Wilson,carolyn88@hotmail.com,(740) 457-1832,4716 Creek Dr,Duluth,GA,30024,campus_001,One Life Center,hh_0020,2021-03-07,active
donor_0268b032,Barbara,Wilson,barbara82@gmail.com,(678) 541-3143,4716 Creek Dr,Duluth,GA,30024,campus_001,One Life Center,hh_0020,2021-03-07,active
donor_089b47da,Brenda,King,brendaking@hotmail.com,(682) 578-3426,9138 Orchard Rd,Duluth,GA,30052,campus_001,One Life Center,hh_0021,2022-05-25,lapsed
donor_ae91f4d3,Debra,Garcia,debrag363@icloud.com,(757) 967-3532,753 Mill Rd,Snellville,GA,30019,campus_001,One Life Center,hh_0022,2021-03-06,active
donor_55f1e428,Jack,Walker,jackwalker@outlook.com,(698) 918-2771,6855 Main St,Duluth,GA,30045,campus_001,One Life Center,hh_0023,2021-01-02,active
donor_0c7e0ecf,Michelle,Jones,michelle.jones@yahoo.com,(729) 536-5564,3369 Forest Ave,Dacula,GA,30046,campus_001,One Life Center,hh_0024,2021-12-17,active
donor_95401da0,Henry,Jones,henry9@outlook.com,(760) 721-7548,3369 Forest Ave,Dacula,GA,30046,campus_001,One Life Center,hh_0024,2021-12-17,active
donor_914a9077,Justin,Kelly,justin.kelly@hotmail.com,(733) 553-6139,1989 Lake Dr,Grayson,GA,30043,campus_001,One Life Center,hh_0025,2020-12-31,active
donor_6a07a68d,Jennifer,Bailey,jenniferb533@yahoo.com,(724) 641-2146,9546 Washington Ave,Suwanee,GA,30017,campus_001,One Life Center,hh_0026,2021-06-05,active
donor_9a78f5bc,Christine,Nelson,christine52@hotmail.com,(694) 396-7888,5020 Highland Ave,Grayson,GA,30044,campus_001,One Life Center,hh_0027,2021-09-25,active
donor_183f136f,Stephen,Carter,stephencarter@icloud.com,(752) 821-6279,9424 Hill St,Duluth,GA,30518,campus_001,One Life Center,hh_0028,2022-04-11,active
donor_15afa5f9,Raymond,Stewart,raymonds680@outlook.com,(689) 969-4848,7852 Willow St,Buford,GA,30078,campus_001,One Life Center,hh_0029,2020-12-13,lapsed
donor_3054e35b,Jacob,Lewis,jlewis@icloud.com,(758) 789-4185,500 Oak Ave,Buford,GA,30045,campus_001,One Life Center,hh_0030,2021-05-16,active
donor_4e838761,Frank,Roberts,frank.roberts@icloud.com,(706) 380-9486,4097 Pine St,Dacula,GA,30017,campus_001,One Life Center,hh_0031,2023-09-05,lapsed
donor_931c5fab,Cynthia,Cox,cynthia72@icloud.com,(756) 936-9270,7578 Pine St,Buford,GA,30044,campus_001,One Life Center,hh_0032,2024-06-29,active
donor_282d97d2,Dennis,Ward,dennisw284@icloud.com,(758) 444-5499,7877 Forest Ave,Dacula,GA,30045,campus_001,One Life Center,hh_0033,2021-06-14,active
donor_4a41f1a6,Zachary,Sullivan,zacharysullivan@icloud.com,(766) 356-4505,4551 Church St,Snellville,GA,30046,campus_001,One Life Center,hh_0034,2021-10-16,active
donor_2fd26fa6,Anthony,Evans,anthonye927@gmail.com,(751) 589-8814,7733 River Rd,Grayson,GA,30078,campus_001,One Life Center,hh_0035,2020-05-07,active
donor_82e50e2f,James,Evans,jevans@icloud.com,(746) 965-9947,7733 River Rd,Grayson,GA,30078,campus_001,One Life Center,hh_0035,2020-05-07,active
donor_c76119e9,Patricia,Lewis,plewis@yahoo.com,(737) 330-9751,4571 River Rd,Dacula,GA,30046,campus_001,One Life Center,hh_0036,2022-09-21,active
donor_03186203,Cynthia,Turner,cynthia34@yahoo.com,(736) 534-6529,7122 Pine St,Lawrenceville,GA,30044,campus_001,One Life Center,hh_0037,2024-11-10,active
donor_dc5ceb75,Maria,Turner,mturner@outlook.com,(688) 681-1317,7122 Pine St,Lawrenceville,GA,30044,campus_001,One Life Center,hh_0037,2024-11-10,active
donor_e8043686,Dennis,Miller,dennis.miller@hotmail.com,(697) 444-3068,1224 Grove St,Grayson,GA,30046,campus_001,One Life Center,hh_0038,2020-03-23,lapsed
donor_2495e1af,Nicole,Anderson,nicole.anderson@yahoo.com,(717) 310-1420,4298 Mill Rd,Buford,GA,30052,campus_001,One Life Center,hh_0039,2020-12-09,active
donor_c1e74bbe,Frank,Richardson,frank32@hotmail.com,(693) 779-1672,3349 Maple Dr,Loganville,GA,30017,campus_001,One Life Center,hh_0040,2023-04-27,active
donor_8cec4b12,Mary,Edwards,medwards@outlook.com,(759) 670-3506,8389 Grove St,Grayson,GA,30044,campus_001,One Life Center,hh_0041,2021-11-29,active
donor_96fe9153,Sharon,Edwards,sharone752@outlook.com,(756) 751-8921,8389 Grove St,Grayson,GA,30044,campus_001,One Life Center,hh_0041,2021-11-29,active
donor_dca59990,Douglas,Ortiz,douglaso476@hotmail.com,(763) 588-6511,4122 Maple Dr,Snellville,GA,30019,campus_001,One Life Center,hh_0042,2021-07-25,active
donor_8bfbef64,Kimberly,Adams,kimberly77@hotmail.com,(679) 729-4130,3575 Mill Rd,Duluth,GA,30052,campus_001,One Life Center,hh_0043,2024-06-21,active
donor_aa7c044f,David,Adams,dadams@icloud.com,(749) 976-4937,3575 Mill Rd,Duluth,GA,30052,campus_001,One Life Center,hh_0043,2024-06-21,active
donor_5b9bd2c8,Mark,Hughes,markh314@outlook.com,(738) 766-9698,382 Maple Dr,Dacula,GA,30052,campus_001,One Life Center,hh_0044,2021-08-25,active
donor_8602a180,Steven,Gutierrez,steven93@gmail.com,(746) 980-4033,7534 Lake Dr,Grayson,GA,30019,campus_001,One Life Center,hh_0045,2021-09-19,active
donor_7da752ee,Matthew,Gutierrez,mgutierrez@outlook.com,(770) 803-9595,7534 Lake Dr,Grayson,GA,30019,campus_001,One Life Center,hh_0045,2021-09-19,active
donor_e00a7330,Joshua,Gonzalez,joshua69@gmail.com,(684) 766-5786,3827 Mill Rd,Buford,GA,30024,campus_001,One Life Center,hh_0046,2021-01-02,lapsed
donor_2a5e33de,Jacob,Taylor,jacob.taylor@outlook.com,(739) 316-2070,300 Meadow Ln,Dacula,GA,30044,campus_001,One Life Center,hh_0047,2021-08-05,active
donor_1c8dee06,Joshua,Martinez,joshuam122@icloud.com,(755) 810-4697,2544 Meadow Ln,Lawrenceville,GA,30045,campus_001,One Life Center,hh_0048,2025-04-27,lapsed
donor_56d432f0,Michelle,Carter,michelle.carter@yahoo.com,(758) 416-5335,4971 Meadow Ln,Dacula,GA,30052,campus_001,One Life Center,hh_0049,2022-05-28,active
donor_755ea555,James,Lee,jlee@outlook.com,(682) 437-5720,9143 Maple Dr,Buford,GA,30045,campus_001,One Life Center,hh_0050,2020-11-16,active
donor_21aff654,Diane,Morales,dianemorales@icloud.com,(692) 757-4683,3924 Lake Dr,Dacula,GA,30044,campus_001,One Life Center,hh_0051,2024-06-01,active
donor_39f91b78,Michelle,Wright,michelle73@icloud.com,(693) 679-5982,1077 Elm St,Duluth,GA,30044,campus_001,One Life Center,hh_0052,2024-06-11,active
