id,donor_id,donor_name,amount,frequency,fund_id,fund_name,campus_id,campus_name,payment_method,status,start_date,next_charge_date,last_charge_date
rec_a2a2949a,donor_fb8b1e14,Pamela Stewart,100,monthly,fund_002,Benevolence,campus_001,One Life Center,Mastercard,active,2023-02-04,2026-02-10,2026-01-15
rec_fecd4484,donor_68889ed6,Jason Taylor,100,monthly,fund_004,General Fund,campus_001,One Life Center,Visa,active,2023-10-07,2026-02-04,2026-01-12
rec_0235fbd6,donor_5bf32a59,Virginia Davis,150,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2025-02-21,2026-02-12,2026-01-30
rec_32504f61,donor_02c4b3ba,Kimberly Johnson,150,monthly,fund_001,Building Fund,campus_001,One Life Center,Amex,active,2025-01-06,2026-02-14,2026-01-11
rec_67570ee4,donor_fe32e4b6,Amy Richardson,50,monthly,fund_001,Missions,campus_001,One Life Center,Mastercard,active,2022-08-30,2026-02-14,2026-01-29
rec_cdfe81c3,donor_3d913af7,Cynthia Miller,50,weekly,fund_001,General Fund,campus_001,One Life Center,ACH,cancelled,2023-01-04,,2026-01-24
rec_7c6d3578,donor_3e1cbf18,Jason Sanders,25,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2022-07-26,2026-02-02,2026-01-29
rec_36b74339,donor_98b7d53d,Barbara Ortiz,75,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2024-05-14,2026-02-13,2026-01-19
rec_f71ab86e,donor_54dab217,Olivia Nguyen,200,weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2025-05-31,2026-02-24,2026-01-21
rec_51047834,donor_3c8f06b1,Amanda Flores,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2024-07-10,2026-02-14,2026-01-05
rec_19ca7a87,donor_21d6fdb6,Patrick Cook,100,monthly,fund_001,General Fund,campus_001,One Life Center,Amex,active,2022-01-16,2026-02-12,2026-01-31
rec_74efd1f6,donor_2eb5987e,Jennifer James,150,monthly,fund_003,General Fund,campus_001,One Life Center,ACH,active,2022-07-18,2026-02-16,2026-01-10
rec_0b158f4d,donor_ae2ce2ef,James Long,50,bi-weekly,fund_002,Building Fund,campus_001,One Life Center,Mastercard,active,2023-10-24,2026-02-25,2026-01-14
rec_91d6f11c,donor_1c9af3cd,Brandon Morales,100,monthly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2024-11-29,2026-02-20,2026-01-15
rec_894a6abd,donor_e8982cf7,Maria Russell,300,monthly,fund_005,Building Fund,campus_001,One Life Center,Mastercard,cancelled,2023-04-04,,2026-01-22
rec_0867d776,donor_6355557c,Nancy Bailey,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2023-07-25,2026-02-07,2026-01-31
rec_5b00bd42,donor_a07a6127,Gary Murphy,250,weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2025-01-10,2026-02-07,2026-01-24
rec_7eacd99e,donor_224fc93b,Adam Nelson,300,monthly,fund_002,Missions,campus_001,One Life Center,Visa,active,2024-06-30,2026-02-27,2026-01-15
rec_b80b2799,donor_370c02af,Michael Rodriguez,1000,monthly,fund_002,General Fund,campus_001,One Life Center,Amex,active,2024-06-04,2026-02-03,2026-01-26
rec_13428377,donor_08fcd81f,Nathan Watson,100,monthly,fund_001,General Fund,campus_001,One Life Center,Visa,active,2022-06-11,2026-02-08,2026-01-23
rec_8625c04c,donor_5a8222a6,Lisa Brooks,50,weekly,fund_002,General Fund,campus_001,One Life Center,Mastercard,cancelled,2023-10-07,,2026-01-27
rec_b99d1203,donor_6d967645,Anthony Carter,150,weekly,fund_001,General Fund,campus_001,One Life Center,ACH,active,2025-02-17,2026-02-21,2026-01-28
rec_7195ace6,donor_31f1dcd8,Jerry Richardson,100,monthly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2023-03-27,2026-02-09,2026-01-07
rec_062b18f8,donor_c4e75f59,Kelly Parker,250,monthly,fund_002,General Fund,campus_001,One Life Center,Visa,cancelled,2025-07-24,,2026-01-16
rec_cf564948,donor_6b9c3496,Lisa Jackson,100,bi-weekly,fund_001,General Fund,campus_001,One Life Center,Mastercard,active,2025-02-16,2026-02-23,2026-01-21
rec_94441f0b,donor_282d97d2,Dennis Ward,300,monthly,fund_003,Missions,campus_001,One Life Center,ACH,active,2023-12-16,2026-02-22,2026-01-16
rec_f395fd1d,donor_956ce5d1,Gary Phillips,75,monthly,fund_001,Youth Ministry,campus_001,One Life Center,Amex,active,2025-07-14,2026-02-12,2026-01-14
