id,donor_id,donor_name,amount,fund_id,fund_name,campus_id,campus_name,service_id,service_name,source,payment_method,status,recurring_gift_id,date,time,processing_fee,net_amount
tx_8bece176,donor_e9c4878f,Deborah Jones,150,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Discover,completed,,2025-02-02,08:44:00,4.65,145.35
tx_0b5e21e4,donor_ef9f2110,Eric Foster,100,fund_004,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,rec_564a1e12,2025-02-02,08:46:00,3.2,96.8
tx_8ff58dbb,donor_8e80d1f8,Brian Thomas,50,fund_002,Building Fund,campus_001,One Life Center,svc_001,9:00 AM,Check,Check,completed,,2025-02-02,08:47:00,0,50
tx_f76593f6,donor_8db87929,Michael Clark,150,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Visa,completed,rec_87e982d9,2025-02-02,08:57:00,4.65,145.35
tx_22b4bb1f,donor_dca59990,Douglas Ortiz,100,fund_003,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,rec_2b71ef8d,2025-02-02,09:31:00,3.2,96.8
tx_3af8db91,donor_247e67cf,George Reyes,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,rec_28b72006,2025-02-02,10:03:00,3.2,96.8
tx_ee78e56a,donor_f23afa6f,Robert James,20,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Mastercard,completed,,2025-02-02,10:10:00,0.88,19.12
tx_fa19fd29,donor_9e4053b5,Donna Rogers,20,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Check,Check,refunded,,2025-02-02,10:33:00,0,20
tx_bdcf171a,donor_d587ec5e,Linda Sanchez,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Discover,completed,,2025-02-02,10:33:00,3.2,96.8
tx_4c594750,donor_a53ce490,Jeffrey Allen,50,fund_003,Missions,campus_001,One Life Center,svc_002,11:00 AM,Check,Check,completed,,2025-02-02,10:35:00,0,50
tx_2b83b0af,donor_4c2bddaf,Victoria Murphy,100,fund_001,General Fund,campus_001,One Life Center,svc_001,9:00 AM,Online,Amex,completed,,2025-02-02,10:43:00,3.2,96.8
tx_48fd0dfb,donor_d5230099,Janet Richardson,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Mastercard,completed,rec_9e0d9b4d,2025-02-02,10:45:00,2.48,72.53
tx_ed8eff52,donor_441e816e,Alexander Price,20,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-02,10:59:00,0,20
tx_6f87dd04,donor_5edf0156,Gregory Jackson,20,fund_002,Building Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,ACH,completed,,2025-02-02,11:34:00,0.88,19.12
tx_db82f106,donor_3e1cbf18,Jason Sanders,100,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-02,11:40:00,3.2,96.8
tx_acbd1b25,donor_3c8f06b1,Amanda Flores,150,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Online,Visa,completed,,2025-02-02,11:42:00,4.65,145.35
tx_6eaa68e9,donor_e4caa8dc,Zachary Long,150,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,ACH,completed,,2025-02-02,11:51:00,4.65,145.35
tx_ac032e3a,donor_daa82468,Christina Edwards,300,fund_003,Missions,campus_001,One Life Center,svc_002,11:00 AM,Cash,Cash,completed,,2025-02-02,11:53:00,0,300
tx_8aab829c,donor_b4cdfd92,Steven Cruz,75,fund_001,General Fund,campus_001,One Life Center,svc_002,11:00 AM,Text-to-Give,Visa,completed,,2025-02-02,11:53:00,2.48,72.52
